a;b;c;d;e;publishdate;title;slug;bangumi;fpost;av;link
395;3月22日;この若手知ってんのか!?2015;アルコ&ピース、三四郎、片山勝三、児島気奈、モグライダー、ザ☆忍者、おかずクラブ、スーパーニュウニュウ、巨匠;2015年;2015-03-22;150321 神舌 艺能界新人现状大调查 后篇;2017-10-16-150321-3036431;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150321-3036431.md;3036431;<a href='/post/2017-10-16-150321-3036431'>LINK</a>
396;3月29日;第8回オオギリッシュNIGHT;バナナマン、バカリズム、川島邦裕（野性爆弾）、小島みなみ、渕上彩夏、小間千代、寺田御子;2015年;2015-03-29;150329 神舌 大喜利;2017-10-16-150329-3588457;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150329-3588457.md;3588457;<a href='/post/2017-10-16-150329-3588457'>LINK</a>
397;4月5日;第2回ジジイ芸人キレ悪検証テスト;博多華丸・大吉、パンサー、はんにゃ、廣田あいか・柏木ひなた（私立恵比寿中学）;2015年;2015-04-05;150405 神舌 不灵活度检验测试;2017-10-16-150405-3495304;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150405-3495304.md;3495304;<a href='/post/2017-10-16-150405-3495304'>LINK</a>
398;4月12日;かぶりタレントキャラ統一マッチ;鈴木拓（ドランクドラゴン）、高橋健一（キングオブコメディ）、設楽統（バナナマン）;2015年;2015-04-12;NA;NA;NA;NA;NA;NA
399;4月19日;“俺たちのMy Way”本当はすごいんだぞールナイトニッポン;ダイノジ、奥仲麻琴、岡田将生、鈴木浩介;2015年;2015-04-19;NA;NA;NA;NA;NA;NA
400;4月26日;第6回イチャまんグランプリ;トレンディエンジェル、スピードワゴン、さくらゆら、木嶋のりこ、大堀恵;2015年;2015-04-26;国庆七连弹第三弹 150426 神舌 第六届调情漫才;2017-10-16-150426-2994169;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150426-2994169.md;2994169;<a href='/post/2017-10-16-150426-2994169'>LINK</a>
401;5月3日;アイドルビジネス悩み撲滅委員会;鈴木拓（ドランクドラゴン）、東森美和、中島愛里、芦原優愛;2015年;2015-05-03;150503 神舌 扑灭偶像商业烦恼委员会;2017-10-16-150503-3618979;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150503-3618979.md;3618979;<a href='/post/2017-10-16-150503-3618979'>LINK</a>
402;5月10日;おかずクラブ ゆいPのキス我慢が見てみたい!;おかずクラブ、鈴木貴之、山本明寛;2015年;2015-05-10;国庆七连弹最终弹 150509 神舌 kiss忍耐女性版;2017-10-16-150509-3021160;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150509-3021160.md;3021160;<a href='/post/2017-10-16-150509-3021160'>LINK</a>
403;5月17日;DVD発売記念 第2のヒム子オーディション;バナナマン、かもめんたる、バイきんぐ、都丸紗也華、久松郁実;2015年;2015-05-17;150516 神舌 humi子VS小峠 男大姐对决;2017-10-16-150516-3743015;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150516-3743015.md;3743015;<a href='/post/2017-10-16-150516-3743015'>LINK</a>
404;5月24日;第4回コンビ愛確かめ選手権;FUJIWARA、アンガールズ、ウーマンラッシュアワー、住吉史衣、葉月ゆめ、矢野目美有;2015年;2015-05-24;150524 神舌 组合爱测试锦标赛第四弹;2017-10-16-150524-3202116;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150524-3202116.md;3202116;<a href='/post/2017-10-16-150524-3202116'>LINK</a>
405;5月31日;第4回コンビ愛確かめ選手権;FUJIWARA、アンガールズ、ウーマンラッシュアワー、住吉史衣、葉月ゆめ、矢野目美有;2015年;2015-05-31;150531 神舌组合爱测试锦标赛第四弹 后篇;2017-10-16-150531-3223222;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150531-3223222.md;3223222;<a href='/post/2017-10-16-150531-3223222'>LINK</a>
406;6月7日;マジギライ1/5;柴田英嗣（アンタッチャブル）、飯塚悟志（東京03）、青山めぐ、加藤明子、宮澤じゅり、あいな;2015年;2015-06-07;150607 神舌 真的讨厌五分之一 柴田篇;2017-10-16-150607-3354206;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150607-3354206.md;3354206;<a href='/post/2017-10-16-150607-3354206'>LINK</a>
407;6月14日;目指せ!お兄ちゃん芸人アイドル×芸人 フィ〜リングカップル;銀シャリ、三四郎、姫崎愛未・高木悠未・ 大庭彩歌・伊藤麻希（LinQ）;2015年;2015-06-14;150614 神舌 成为偶像的哥哥艺人;2017-10-16-150614-4171356;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150614-4171356.md;4171356;<a href='/post/2017-10-16-150614-4171356'>LINK</a>
408;6月21日;仲直りフレンドパーク6;鈴木拓（ドランクドラゴン）、西野亮廣（キングコング）;2015年;2015-06-21;150621 神舌 重归于好企划;2017-10-16-150621-3069583;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150621-3069583.md;3069583;<a href='/post/2017-10-16-150621-3069583'>LINK</a>
409;6月28日;第5回アイドル飲み姿カワイイGP;中村静香、中島愛里、三原勇希;2015年;2015-06-28;150628 神舌 第五届偶像酒品大会;2017-10-16-150628-4017026;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150628-4017026.md;4017026;<a href='/post/2017-10-16-150628-4017026'>LINK</a>
410;7月5日;第3回ファンタジー芸人No.1決定戦;川島邦裕（野性爆弾）、下野紘、三森すずこ、荻野可鈴・小林玲・京佳（夢みるアドレセンス）、原田まりる、倉持由香、水月桃子;2015年;2015-07-05;150704 神舌 第三回 幻想艺人 NO.1决定战 前半;2017-10-16-150704-4782733;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150704-4782733.md;4782733;<a href='/post/2017-10-16-150704-4782733'>LINK</a>
411;7月12日;第3回ファンタジー芸人No.1決定戦;川島邦裕（野性爆弾）、下野紘、三森すずこ、荻野可鈴・小林玲・京佳（夢みるアドレセンス）、原田まりる、倉持由香、水月桃子;2015年;2015-07-12;150712 幻想艺人NO.1决定战 后半;2017-10-16-150712-4834579;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150712-4834579.md;4834579;<a href='/post/2017-10-16-150712-4834579'>LINK</a>
412;7月19日;マジ歌ライブ名場面集;-;2015年;2015-07-19;150718 神舌 严肃歌曲live名场面精选;2017-10-16-150718-4912681;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150718-4912681.md;4912681;<a href='/post/2017-10-16-150718-4912681'>LINK</a>
413;7月26日;ゲーセワニュース2015;久田将義、吉田豪、杉作J太郎、しみけん;2015年;2015-07-26;150726 神舌 2015八卦news;2017-10-16-150726-3860595;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150726-3860595.md;3860595;<a href='/post/2017-10-16-150726-3860595'>LINK</a>
414;8月9日;ザ・大声クイズ13;千鳥、菊地亜美、西野晶雄（シンプル）;2015年;2015-08-09;150809 神舌 大声问答;2017-10-16-150809-6036907;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150809-6036907.md;6036907;<a href='/post/2017-10-16-150809-6036907'>LINK</a>
415;8月16日;10代のノリに食らいつけ!ジジババ検証テスト;黒沢かずこ（森三中）、椿鬼奴、私立恵比寿中学;2015年;2015-08-16;150816 神舌 大叔大妈测试;2017-10-16-150816-5789219;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150816-5789219.md;5789219;<a href='/post/2017-10-16-150816-5789219'>LINK</a>
416;8月23日;芸能界ストイック暗記王15;おかずクラブ、麒麟、バカリズム、東京03、亀島一徳、高橋戦車青山めぐ、安藤遥、小田あさ美、桜井未来、富川一人、澤野泰誠、和田裕太、白石茉莉奈;2015年;2015-08-23;150822 神舌 禁欲暗记王;2017-10-16-150822-3370959;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150822-3370959.md;3370959;<a href='/post/2017-10-16-150822-3370959'>LINK</a>
417;8月30日;芸能界ストイック暗記王15;おかずクラブ、麒麟、バカリズム、東京03、亀島一徳、高橋戦車青山めぐ、安藤遥、小田あさ美、桜井未来、富川一人、澤野泰誠、和田裕太、白石茉莉奈;2015年;2015-08-30;150830 神舌 禁欲暗记王;2017-10-16-150830-3959266;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150830-3959266.md;3959266;<a href='/post/2017-10-16-150830-3959266'>LINK</a>
418;9月6日;教えて!松見坂先生;日村勇紀（バナナマン）、ムーディ勝山、どぶろっく、岡井千聖（℃-ute）、都丸紗也華;2015年;2015-09-06;150906 神舌 解决艺能界的烦恼;2017-10-16-150906-4436897;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150906-4436897.md;4436897;<a href='/post/2017-10-16-150906-4436897'>LINK</a>
419;9月13日;マジ歌ライブ直前 緊急企画!;マキタスポーツ、野性爆弾、鈴木このみ、池田エライザ、奥仲麻琴、金子栞;2015年;2015-09-13;NA;NA;NA;NA;NA;NA
420;9月20日;ゴッドタン出演者懇親会;三四郎、小池美由、中島愛里、あいな、Pちゃん;2015年;2015-09-20;150920 神舌 登场嘉宾的恳亲会;2017-10-16-150920-5450149;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150920-5450149.md;5450149;<a href='/post/2017-10-16-150920-5450149'>LINK</a>
421;9月27日;衝撃事件簿 未公開SP;-;2015年;2015-09-27;150926 神舌 未公开SP;2017-10-16-150926-5273283;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-150926-5273283.md;5273283;<a href='/post/2017-10-16-150926-5273283'>LINK</a>
422;10月4日;松丸・中島・あいなの正直美女お悩み相談室;中島愛里、あいな、佐藤新一;2015年;2015-10-04;NA;NA;NA;NA;NA;NA
423;10月11日;マジ歌LIVE2015 in 東京国際フォーラム;バナナマン、東京03、野性爆弾、ダイノジ、マキタスポーツ、黒沢かずこ（森三中）、秋山竜次（ロバート）、後藤輝基（フットボールアワー）私立恵比寿中学、中村静香、中島愛里、鈴木このみ;2015年;2015-10-11;151011 神舌严肃歌曲 live;2017-10-16-151011-3896440;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-151011-3896440.md;3896440;<a href='/post/2017-10-16-151011-3896440'>LINK</a>
424;10月18日;マジ歌LIVE2015 in 東京国際フォーラム;バナナマン、東京03、野性爆弾、ダイノジ、マキタスポーツ、黒沢かずこ（森三中）、秋山竜次（ロバート）、後藤輝基（フットボールアワー）私立恵比寿中学、中村静香、中島愛里、鈴木このみ;2015年;2015-10-18;NA;NA;NA;NA;NA;NA
425;10月25日;第5回コンビ愛確かめ選手権;オアシズ、ドランクドラゴン、麒麟、川井優沙、西上まなみ、山本成美;2015年;2015-10-25;NA;NA;NA;NA;NA;NA
426;11月1日;第5回コンビ愛確かめ選手権;オアシズ、ドランクドラゴン、麒麟、川井優沙、西上まなみ、山本成美;2015年;2015-11-01;NA;NA;NA;NA;NA;NA
427;11月8日;ウソツキング 〜マジよりリアルな嘘をつけ〜;川島明（麒麟）、村本大輔（ウーマンラッシュアワー）、久松都実、野呂佳代;2015年;2015-11-08;NA;NA;NA;NA;NA;NA
428;11月15日;マジギライ1/5;バイきんぐ、宮河マヤ、藤綾乃、染谷有香、西村瑠璃子、あいな;2015年;2015-11-15;NA;NA;NA;NA;NA;NA
429;11月22日;お笑い事務所ゴシップサテライト;アルコ&ピース、鬼ヶ島、三四郎;2015年;2015-11-22;151122 神舌 搞笑事务所八卦会;2018-06-23-151122-25440397;神舌;/home/tc/GIT/owaraisite/content/post//2018-06-23-151122-25440397.md;25440397;<a href='/post/2018-06-23-151122-25440397'>LINK</a>
430;11月29日;名物女性キャラ初登場スペシャル;-;2015年;2015-11-29;NA;NA;NA;NA;NA;NA
431;12月6日;第5回松丸プロデュース王決定戦;塚地武雅（ドランクドラゴン）;2015年;2015-12-06;NA;NA;NA;NA;NA;NA
432;12月13日;ギリ笑える不幸座談会;野口かおる、三四郎、小池美由、伊藤麻希（LinQ）;2015年;2015-12-13;NA;NA;NA;NA;NA;NA
433;12月20日;2015年のうちに放送しちゃいたい未公開映像SP;-;2015年;2015-12-20;NA;NA;NA;NA;NA;NA
434;1月3日;第13回芸人マジ歌選手権;バナナマン、東京03、秋山竜次（ロバート）、スピードワゴン、ダイノジヒャダイン、小島瑠璃子、澤部佑（ハライチ）加藤育実、逢月ひな（サンミニ）、朝倉ゆり（バクステ外神田一丁目）、natsuki（エレクトリックリボン）;2016年;2016-01-03;神舌严肃歌曲新春sp 笨蛋主义cut 160103;2017-10-16-160103-7844150;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-160103-7844150.md;7844150;<a href='/post/2017-10-16-160103-7844150'>LINK</a>
435;1月10日;第13回芸人マジ歌選手権 完全版SP;バナナマン、東京03、秋山竜次（ロバート）、スピードワゴン、ダイノジヒャダイン、小島瑠璃子、澤部佑（ハライチ）加藤育実、逢月ひな（サンミニ）、朝倉ゆり（バクステ外神田一丁目）、natsuki（エレクトリックリボン）;2016年;2016-01-10;NA;NA;NA;NA;NA;NA
436;1月17日;ザ・大声クイズ14;藤本敏史（FUJIWARA）、吉村崇（平成ノブシコブシ）、野呂佳代;2016年;2016-01-17;NA;NA;NA;NA;NA;NA
437;1月24日;小池美由にトモダチを作ってあげよう;小池美由、岸明日香、葉月、メイプル超合金、黒沢かずこ（森三中）;2016年;2016-01-24;NA;NA;NA;NA;NA;NA
438;1月31日;チャラギリッシュNIGHT;バカリズム、ケンドーコバヤシ、日村勇紀（バナナマン）、葉月、菜香、平野いえな;2016年;2016-01-31;NA;NA;NA;NA;NA;NA
439;2月7日;西野理解王選手権;西野亮廣（キングコング）、板倉俊之（インパルス）、岡井千聖（℃-ute）、石橋ゆう子;2016年;2016-02-07;160207 神舌 西野理解王锦标赛;2017-10-16-160207-6510071;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-160207-6510071.md;6510071;<a href='/post/2017-10-16-160207-6510071'>LINK</a>
440;2月14日;第7回イチャまんグランプリ;三四郎、ハライチ、小島みなみ、木嶋のりこ、大堀恵;2016年;2016-02-14;NA;NA;NA;NA;NA;NA
441;2月21日;第4回ジジイ芸人キレ悪検証テスト;サンドウィッチマン、荻野可鈴・山田朱莉・志田友美・京佳（夢みるアドレセンス）;2016年;2016-02-21;NA;NA;NA;NA;NA;NA
442;2月28日;準レギュラー契約更新オーディション;手島優、Pちゃん、西岡葉月;2016年;2016-02-28;NA;NA;NA;NA;NA;NA
443;3月6日;ゴッドタンのDVD特典映像は意外に面白いぞSP;あいな、松本ルナ、佐藤佳奈子、高橋志信、谷桃子、三四郎、小島みなみ;2016年;2016-03-06;NA;NA;NA;NA;NA;NA
444;3月13日;俺の落とし方発表会;田中卓志（アンガールズ）、小田あさ美;2016年;2016-03-13;NA;NA;NA;NA;NA;NA
445;3月20日;俺の落とし方発表会;田中卓志（アンガールズ）、野呂佳代;2016年;2016-03-20;NA;NA;NA;NA;NA;NA
446;3月27日;この次世代アイドル知ってんのか!?2016;トレンディエンジェル、小池美由、吉田豪、掟ポルシェ、宗像明将一ノ瀬みか（神宿）、あの（ゆるめるモ!）、清竜人25、バニラビーンズ、秋元結季（DaisukI）;2016年;2016-03-27;NA;NA;NA;NA;NA;NA
447;4月3日;マジギライ1/5;田中涼子、矢口真里、ビビる大木、あいな;2016年;2016-04-03;160403 神舌 真的讨厌5/1 剧团一人;2017-10-16-160403-5176594;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-160403-5176594.md;5176594;<a href='/post/2017-10-16-160403-5176594'>LINK</a>
448;4月3日;この若手知ってんのか!?2016;アルコ＆ピース、児島気奈、片山勝三、アナクロニスティック、ちぐはぐ、ADVANCE、曇天三男坊、ロリィタ族。;2016年;2016-04-03;160403 神舌 真的讨厌5/1 剧团一人;2017-10-16-160403-5176594;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-160403-5176594.md;5176594;<a href='/post/2017-10-16-160403-5176594'>LINK</a>
449;4月10日;この若手知ってんのか!?2016;アルコ＆ピース、児島気奈、片山勝三、ブラックパイナーSOS、マシンガンズ;2016年;2016-04-10;NA;NA;NA;NA;NA;NA
450;4月17日;ワレモテ芸人会議;笑い飯、ジャルジャル、谷桃子;2016年;2016-04-17;NA;NA;NA;NA;NA;NA
451;4月24日;DVD発売記念 小沢のマジ歌リベンジ!;スピードワゴン、倉持由香、山根千佳、都丸紗也華;2016年;2016-04-24;严肃歌曲 Speedwagon 160423;2018-05-15-160423-23443782;神舌;/home/tc/GIT/owaraisite/content/post//2018-05-15-160423-23443782.md;23443782;<a href='/post/2018-05-15-160423-23443782'>LINK</a>
452;5月1日;芸能界ストイック暗記王16;永野、藤本敏史（FUJIWARA）、小池美由、東京03、田中涼子、小田あさ美、桜井未来、安藤遥小野川晶、棒地良行、小玉雄大、大矢巧、髙橋弘兆、小川千尋、加納葉月、本田香織、野口雄介、阿部志鴻;2016年;2016-05-01;NA;NA;NA;NA;NA;NA
453;5月8日;芸能界ストイック暗記王16;永野、藤本敏史（FUJIWARA）、小池美由、東京03、田中涼子、小田あさ美、桜井未来、安藤遥小野川晶、棒地良行、小玉雄大、大矢巧、髙橋弘兆、小川千尋、加納葉月、本田香織、野口雄介、阿部志鴻;2016年;2016-05-08;NA;NA;NA;NA;NA;NA
454;5月15日;上品芸人クリニック;博多大吉（博多華丸・大吉）、川島明（麒麟）、三四郎、西岡葉月;2016年;2016-05-15;NA;NA;NA;NA;NA;NA
455;5月22日;悩める中堅芸人 景気の悪い話サミット;エルシャカラーニ、三拍子、ブラックパイナーSOS、マシンガンズ、児島気奈;2016年;2016-05-22;NA;NA;NA;NA;NA;NA
456;5月29日;泣けて笑える感動作SP;-;2016年;2016-05-29;NA;NA;NA;NA;NA;NA
457;6月5日;第6回コンビ愛確かめ選手権;サンドウィッチマン、ジャルジャル、ロッチ、植松杏菜、古賀あかね、荷川取さやか;2016年;2016-06-05;NA;NA;NA;NA;NA;NA
458;6月12日;第6回コンビ愛確かめ選手権;サンドウィッチマン、ジャルジャル、ロッチ、植松杏菜、古賀あかね、荷川取さやか;2016年;2016-06-12;NA;NA;NA;NA;NA;NA
459;6月19日;第2回俺の落とし方発表会;大悟（千鳥）、シソンヌ、小田あさ美、安藤遥、橘希;2016年;2016-06-19;NA;NA;NA;NA;NA;NA
460;6月26日;アルコ＆ピース酒井の彼女オーディション;アルコ＆ピース、中村愛、紺野ぶるま、ロリィタ族。;2016年;2016-06-26;NA;NA;NA;NA;NA;NA
461;7月3日;仲直りフレンドパーク7（前編）;西野亮廣（キングコング）;2016年;2016-07-03;NA;NA;NA;NA;NA;NA
462;7月10日;私の落とし方発表会;野呂佳代、おかずクラブ、金子岳憲、上田堪大;2016年;2016-07-10;NA;NA;NA;NA;NA;NA
463;7月10日;仲直りフレンドパーク7（後編）;西野亮廣（キングコング）、小川千尋、加納葉月;2016年;2016-07-10;NA;NA;NA;NA;NA;NA
464;7月17日;エロカッコつけ芸人は誰だ!?セクシードッキリ検証;岩井勇気（ハライチ）、曇天三男坊、ラブレターズ、小島みなみ;2016年;2016-07-17;NA;NA;NA;NA;NA;NA
465;7月24日;舎弟愛確かめ選手権;ノブ（千鳥）、ケンドーコバヤシ、神宮寺しし丸、西野晶雄（シンプル）、ネゴシックス、小島みゆ、如月さや、川上愛;2016年;2016-07-24;NA;NA;NA;NA;NA;NA
466;7月31日;舎弟愛確かめ選手権;ノブ（千鳥）、ケンドーコバヤシ、神宮寺しし丸、西野晶雄（シンプル）、ネゴシックス、小島みゆ、如月さや、川上愛;2016年;2016-07-31;NA;NA;NA;NA;NA;NA
467;8月7日;爆乳シリーズ 新メンバーオーディション;手島優、天木じゅん、紺野ぶるま、Pちゃん;2016年;2016-08-07;NA;NA;NA;NA;NA;NA
468;8月14日;第2回私の落とし方発表会;相席スタート、阿佐ヶ谷姉妹、菊地亜美、岩谷健司、梅津瑞樹、貴瀬雄二;2016年;2016-08-14;NA;NA;NA;NA;NA;NA
469;8月21日;マジギライ1/5;ロッチ、朝日奈央、三宿菜々、藤後夏子、キューティー上木、そぼく（ミリオンズ）、アイクぬわら（超新塾）、あいな;2016年;2016-08-21;NA;NA;NA;NA;NA;NA
470;8月28日;未公開ギリギリ映像SP;-;2016年;2016-08-28;NA;NA;NA;NA;NA;NA
471;9月4日;マジ歌ルーキーオーディション;東京03、大福、パーマ大佐、ニック（タイムボム）、ぶらっくさむらい、春田和幸;2016年;2016-09-04;160904 神舌 严肃歌曲;2017-10-16-160904-8290267;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-160904-8290267.md;8290267;<a href='/post/2017-10-16-160904-8290267'>LINK</a>
472;9月11日;第9回オオギリッシュNIGHT;川島明（麒麟）、バカリズム、ケンドーコバヤシ、くっきー（野性爆弾）、佐藤聖羅、西村麻依、西岡葉月;2016年;2016-09-11;NA;NA;NA;NA;NA;NA
473;9月18日;第4回バカヤロウ徒競走;児嶋一哉（アンジャッシュ）、ノブ（千鳥）、矢口真里、西野晶雄（シンプル）、ネゴシックス、神宮寺しし丸、岡井千聖、大高雄一郎大村わたる、冠仁、齊藤夢愛、島村比呂樹、清水美輝、中田好人、長谷川恒希、前原瑞樹、涌井とも子、野沢春日;2016年;2016-09-18;NA;NA;NA;NA;NA;NA
474;9月25日;第4回バカヤロウ徒競走;児嶋一哉（アンジャッシュ）、ノブ（千鳥）、矢口真里、西野晶雄（シンプル）、ネゴシックス、神宮寺しし丸、岡井千聖、大高雄一郎大村わたる、冠仁、齊藤夢愛、島村比呂樹、清水美輝、中田好人、長谷川恒希、前原瑞樹、涌井とも子、野沢春日;2016年;2016-09-25;NA;NA;NA;NA;NA;NA
475;10月2日;芝居ヤバイ芸人No.1決定戦;ネゴシックス、岡井千聖、三四郎、天野麻菜、倉持由香、春輝、日野出清、大矢巧;2016年;2016-10-02;NA;NA;NA;NA;NA;NA
476;10月9日;第2回エロ格好つけ調査;塚地武雅（ドラングドラゴン）、ラブレターズ、小島みなみ;2016年;2016-10-09;NA;NA;NA;NA;NA;NA
477;10月16日;コンビ芸開発委員会;バイきんぐ、三四郎;2016年;2016-10-16;NA;NA;NA;NA;NA;NA
478;10月23日;第5回ジジイ芸人キレ悪検証テスト;ハライチ、レイザーラモンHG、M!LK、片渕茜（テレビ東京アナウンサー）;2016年;2016-10-23;NA;NA;NA;NA;NA;NA
479;10月30日;第3回私の落とし方発表会;阿佐ヶ谷姉妹、大久保佳代子、岸明日香、岩谷健司、我妻桃実（ハコイリムスメ）、浅見鉱至、平原テツ、和合真一;2016年;2016-10-30;161031 神舌 大喜利之夜;2017-10-16-161031-9167925;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-161031-9167925.md;9167925;<a href='/post/2017-10-16-161031-9167925'>LINK</a>
480;11月6日;仲直りフレンドパーク8（前編）;小池美由、黒沢かずこ（森三中）、仲義代;2016年;2016-11-06;NA;NA;NA;NA;NA;NA
481;11月13日;仲直りフレンドパーク8（後編）第5回ジジイ芸ジイ芸人キレ悪検証テスト 未公開;小池美由、黒沢かずこ（森三中）、生ハムと焼うどんハライチ、片渕茜（テレビ東京アナウンサー）;2016年;2016-11-13;NA;NA;NA;NA;NA;NA
482;11月27日;芸能界ストイック暗記王17;博多華丸・大吉、ビビる大木、アルコ＆ピース、ロリィタ族。、大（グランジ）、向清太朗（天津）小田あさ美、加納葉月、鈴木ふみ奈、染谷有香、松岡里英;2016年;2016-11-27;NA;NA;NA;NA;NA;NA
483;12月4日;芸能界ストイック暗記王17;博多華丸・大吉、ビビる大木、アルコ＆ピース、ロリィタ族。、大（グランジ）、向清太朗（天津）小田あさ美、加納葉月、鈴木ふみ奈、染谷有香、松岡里英;2016年;2016-12-04;NA;NA;NA;NA;NA;NA
484;12月11日;第6回照れカワ芸人更生プログラム;千鳥、ジャルジャル、℃-ute、ハリウッドザコシショウ、篠原正明;2016年;2016-12-11;NA;NA;NA;NA;NA;NA
485;12月18日;第6回照れカワ芸人更生プログラム;千鳥、ジャルジャル、℃-ute、ハリウッドザコシショウ、篠原正明;2016年;2016-12-18;NA;NA;NA;NA;NA;NA
486;12月25日;第5回エロ哀しい話座談会;紺野ぶるま、西岡葉月、Pちゃん;2016年;2016-12-25;神舌 161225 悲情座谈会;2017-10-16-161225-10276025;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-161225-10276025.md;10276025;<a href='/post/2017-10-16-161225-10276025'>LINK</a>
487;1月4日;第14回芸人マジ歌選手権;バナナマン、東京03、バカリズム、後藤輝基（フットボールアワー）、秋山竜次（ロバート）、ハライチ宇多丸（RHYMESTER）、川島明（麒麟）、小島瑠璃子橘花凛、志崎ひなた、齊藤夢愛、古川真奈美、甲斐はるか、佐藤衣里子;2017年;2017-01-04;170104 神舌 严肃歌曲大赛;2017-10-16-170104-11767683;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-170104-11767683.md;11767683;<a href='/post/2017-10-16-170104-11767683'>LINK</a>
488;1月8日;第14回芸人マジ歌選手権 完全版SP;バナナマン、東京03、バカリズム、後藤輝基（フットボールアワー）、秋山竜次（ロバート）、ハライチ宇多丸（RHYMESTER）、川島明（麒麟）、小島瑠璃子橘花凛、志崎ひなた、齊藤夢愛、古川真奈美、甲斐はるか、佐藤衣里子;2017年;2017-01-08;170108 神舌 严肃歌曲未公开 第四弹;2017-10-16-170108-15050671;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-170108-15050671.md;15050671;<a href='/post/2017-10-16-170108-15050671'>LINK</a>
489;1月15日;第1回ネタギリッシュNIGHT;さらば青春の光、ザ・ギース、うしろシティ、かもめんたる橘ゆりか、木村好珠、阿比留夏海;2017年;2017-01-15;NA;NA;NA;NA;NA;NA
490;1月22日;第3回俺の落とし方発表会;塚地武雅（ドランクドラゴン）、小野川晶、酒井蘭、鈴木ふみ奈、三浦あくり日比野線、谷仲恵輔、山森信太郎、小椋唯香、菊川聖羅、芝本麟太郎;2017年;2017-01-22;NA;NA;NA;NA;NA;NA
491;1月29日;マジギライ1/3;矢口真里、朝日奈央、岡井千聖（℃-ute）、手島優;2017年;2017-01-29;神舌 170128 真的讨厌三分之一 矢口真里;2017-04-08-170128-9679090;神舌;/home/tc/GIT/owaraisite/content/post//2017-04-08-170128-9679090.md;9679090;<a href='/post/2017-04-08-170128-9679090'>LINK</a>
492;2月5日;第8回イチャまんグランプリ;カミナリ、ピーマンズスタンダード、川上奈々美、三上悠亜、大堀恵;2017年;2017-02-05;NA;NA;NA;NA;NA;NA
493;2月12日;気持ちよく泣かせるキャバクラ;角田晃広（東京03）、小池美由、内田晴子、大友久志、木村優良、佐瀬弘幸、西山聡、蒻崎今日子;2017年;2017-02-12;NA;NA;NA;NA;NA;NA
494;2月19日;ロバート秋山のノリ女塾;秋山竜次（ロバート）、本郷杏奈、浅川梨奈（SUPER GiRLS）;2017年;2017-02-19;NA;NA;NA;NA;NA;NA
495;2月26日;第4回私の落とし方発表会;阿佐ヶ谷姉妹、鈴木奈々、平野ノラ岩谷健司、オクイシュージ、小澤廉、東加奈子、日比野線、我妻桃実（ハコイリムスメ）楠拓馬、小池碧、安田祐太;2017年;2017-02-26;NA;NA;NA;NA;NA;NA
496;3月5日;マジ歌スピンオフ;東京03、春田和幸、ニック&ぶらっくさむらい、関水たまこ;2017年;2017-03-05;170305 神舌 严肃歌曲 第五弹;2017-10-16-170305-15067069;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-170305-15067069.md;15067069;<a href='/post/2017-10-16-170305-15067069'>LINK</a>
497;3月19日;よくぞここまで続いた！ゴッドタン ギリギリ事件簿！;東京03、深澤ゆうき、みひろ;2017年;2017-03-19;NA;NA;NA;NA;NA;NA
